代码,简称
H20030.CSI,中证800公用全收益
000986.SH,全指能源
000987.SH,全指材料
000988.CSI,全指工业
000989.SH,全指可选
000990.SH,全指消费
000991.SH,全指医药
000992.SH,全指金融
000993.SH,全指信息
000994.CSI,全指电信
000995.CSI,全指公用
000159.SH,沪股通
000160.SH,沪新丝路
000161.SH,沪中国造
000162.SH,沪互联+
000171.CSI,新兴成指
000188.SH,中国波指
000801.CSI,资源80
000802.SH,500沪市
000805.SH,A股资源
000806.CSI,消费服务
000809.CSI,细分农业
000810.CSI,细分能源
000811.CSI,细分有色
000812.CSI,细分机械
000813.CSI,细分化工
000814.SH,细分医药
000815.CSI,细分食品
000816.CSI,细分地产
000818.CSI,细分金融
000821.CSI,沪深300红利
000822.CSI,中证500红利
000823.SH,中证800有色
000824.CSI,中证国企红利
000825.CSI,中证央企红利
000826.CSI,中证民企红利
000827.SH,中证环保
000838.CSI,中证创业价值
000839.CSI,中证浙企综指
000840.CSI,中证浙江民企
000849.SH,300非银
000850.CSI,300有色
000855.SH,央视500
000859.CSI,国企带路
000860.CSI,结构调整
000861.CSI,央企创新
000863.SH,CS精准医
000865.SH,上海国企
000867.SH,港中小企
000869.SH,HK银行(HKD)
000891.CSI,新兴综指
000922.CSI,中证红利
000926.CSI,中证央企
000927.CSI,央企100
000938.CSI,中证民企
000939.CSI,民企成长
000941.CSI,新能源
000942.CSI,内地消费
000943.CSI,内地基建
000944.SH,内地资源
000945.CSI,内地运输
000946.CSI,内地金融
000947.CSI,内地银行
000948.CSI,内地地产
000949.CSI,内地农业
000950.CSI,300基建
000953.CSI,中证地企
000954.CSI,地企100
000955.CSI,中证国企
000956.CSI,国企200
000958.SH,创业成长
000960.CSI,中证龙头
000961.CSI,中证上游
000962.CSI,中证中游
000963.CSI,中证下游
000964.CSI,中证新兴
000968.CSI,300周期
000969.CSI,300非周
000970.CSI,ESG40
000972.CSI,300沪市
000974.SH,中证800金融
000975.CSI,钱江30
000977.CSI,内地低碳
000978.CSI,医药100
000979.CSI,大宗商品
000983.CSI,智能资产
